company,inferred_domain,gtm_score,confidence,icp_tier,segment,market,known_markets,office_cities,ezcater_vertical,zi_industry,unique_roles_with_perk,role_count,top_keywords,best_source,all_sources,location,remote,sample_title,sample_url,perk_excerpt,date_first_seen,is_new,loc_signal_strength,expansion_confirmed,expansion_possible,existing_confirmed,existing_possible,location_jd_count,location_detail
Intercom,intercom.com,45,High,Very Viable,unmanaged,San Francisco,San Francisco,"[{""city"": ""San Francisco"", ""state"": ""California"", ""market"": ""San Francisco""}]",Technology,Customer Relationship Management (CRM) Software,65,65,"catered lunch, fully stocked kitchen, stocked kitchen",Greenhouse,Greenhouse,"Sydney, Australia",Hybrid,"Account Executive, Mid-Market",https://job-boards.greenhouse.io/intercom/jobs/7345114,"...itive salary and equity in a fast-growing start-up</li> <li>Catered lunch every weekday, plus a fully stocked kitchen</li> <li>Regula...",2026-04-17,0,expansion_confirmed,Other,,,,96,"[{""market"": ""Other"", ""jd_count"": 95, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 14}, {""market"": ""Chicago"", ""jd_count"": 1, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
Harrys,harrys.com,42,High,Very Viable,unmanaged,New York,,"[{""city"": ""New York City"", ""state"": ""New York"", ""market"": ""Other""}]",Retail and Wholesale,"Cosmetics, Beauty Supply & Personal Care Products",8,8,"fully stocked kitchen, stocked kitchen",Greenhouse,Greenhouse,"New York, NY",On-site,"VP, Global Head of DTC",https://job-boards.greenhouse.io/harrys/jobs/7389735,"...d out with bagels on Wednesdays and lunch on Thursdays, and fully stocked kitchens with snacks, coffee, and drinks everyday.&nbsp; Can’t forg...",2025-11-11,0,expansion_confirmed,New York,,,,8,"[{""market"": ""New York"", ""jd_count"": 8, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
Sharebite,sharebite.com,42,High,Very Viable,unmanaged,Other,,[],,Supply Chain Management (SCM) Software,10,10,"meal stipend, sharebite",Exa,Exa,,Unknown,Job Application for Product Manager at Sharebite,https://job-boards.greenhouse.io/sharebite/jobs/5887892004,...Job Application for Product Manager at Sharebite New # Product Manager Remote Apply ## Product Manager ### A...,,0,expansion_confirmed,Other,,,,12,"[{""market"": ""Other"", ""jd_count"": 12, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 15}]"
Flexport,deliverr.com,39,High,Very Viable,unmanaged,San Francisco,San Francisco,"[{""city"": ""San Francisco"", ""state"": ""California"", ""market"": ""San Francisco""}]",Transportation,Freight & Logistics Services,8,8,"catered lunch, lunch stipend",Greenhouse,Greenhouse,"Amsterdam, Netherlands",On-site,Staff Software Engineer: Applied AI,https://boards.greenhouse.io/flexport/jobs/7311883?gh_jid=7311883,"...sp; thriving multinational environment&nbsp;</li> <li>Daily catered lunches incl. vegetarian options, breakfast, snacks and soft drin...",2026-04-20,0,expansion_confirmed,Other,,,,8,"[{""market"": ""Other"", ""jd_count"": 8, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
Parafin,parafin.com,38,High,Very Viable,prospect,San Francisco,,[],,,25,25,free lunch,Ashby,Ashby,"San Francisco, CA",Remote,"Senior Software Engineer, Spend & Banking",https://jobs.ashbyhq.com/parafin/7a01ac7a-984b-4d10-a053-74bd24d46013,...Work from home flexibility Unlimited PTO Commuter benefits Free lunches Paid parental leave 401(k) Employee assistance program If...,2026-04-27,0,expansion_confirmed,San Francisco,,,,25,"[{""market"": ""San Francisco"", ""jd_count"": 25, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
Ramp,ramp.com,31,High,Very Viable,managed,New York,,"[{""city"": ""New York City"", ""state"": ""New York"", ""market"": ""Other""}]",Technology,Financial Software,1,1,catered lunch,Ashby,Ashby,"New York, NY (HQ)",Remote,"Software Engineer Internship, Android ",https://jobs.ashbyhq.com/ramp/67fadb77-43d8-4449-954b-d4cf2c6d3b8b,"...s $11,000 USD + housing stipend Ramp Benefits Apple Macbook Catered Lunches in the NYC office Benefits (for U.S.-based full-time empl...",2025-08-07,0,noise,,,,,1,"[{""market"": ""New York"", ""jd_count"": 1, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
Datadog,sqreen.com,28,High,Viable,unmanaged,Other,,"[{""city"": ""New York City"", ""state"": ""New York"", ""market"": ""Other""}]",Technology,Storage & System Management Software,2,2,catered lunch,Greenhouse,Greenhouse,"Lisbon, Portugal",Hybrid,Software Engineer - Early Career,https://careers.datadoghq.com/detail/7646452/?gh_jid=7646452,"...events</li> <li>Unlimited snacks and drinks in our office; catered lunches on Monday, Wednesday, and Friday</li> <li>Free, global me...",2026-04-23,0,noise,,,,,3,"[{""market"": ""Other"", ""jd_count"": 2, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}, {""market"": ""Boston"", ""jd_count"": 1, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
Openai,openai.com,28,High,Viable,managed,San Francisco,San Francisco,"[{""city"": ""San Francisco"", ""state"": ""California"", ""market"": ""San Francisco""}]",Info and Comms,Research & Development,13,13,stocked kitchen,Ashby,Ashby,San Francisco,On-site,Global Head of Benefits ,https://jobs.ashbyhq.com/openai/3306b8e2-123c-4040-b490-08298f6dc88f,"...ight-adjustable desks, conference rooms, phone booths, well-stocked kitchens full of snacks and drinks, three in-house prepared meals d...",2026-03-20,0,noise,,,,,0,[]
Okta,okta.com,26,High,Viable,managed,San Francisco,San Francisco,"[{""city"": ""San Francisco"", ""state"": ""California"", ""market"": ""San Francisco""}]",Technology,Security Software,1,1,catered lunch,Greenhouse,Greenhouse,"Dublin, Ireland",On-site,Sales Development Representative - German,https://www.okta.com/company/careers/opportunity/7709578?gh_jid=7709578,"...i style=""font-weight: 400;""><span style=""font-weight: 400;"">Catered lunches &amp; snack program</span></li> <li style=""font-weight: 4...",2026-04-26,0,noise,,,,,2,"[{""market"": ""Other"", ""jd_count"": 2, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
Klaviyo,klaviyo.com,25,High,Viable,unmanaged,Boston,Boston,"[{""city"": ""Boston"", ""state"": ""Massachusetts"", ""market"": ""Boston""}]",Technology,Customer Relationship Management (CRM) Software,1,1,free lunch,Greenhouse,Greenhouse,"London, UK",On-site,"Senior Software Engineer, Internationalisation Platform",https://www.klaviyo.com/careers/jobs?gh_jid=7568452003,...y from customers and suggesting cool new approaches.</p> <p>Free lunch at our Aldgate office three times a week<br>Highly competit...,2026-03-31,0,noise,,,,,1,"[{""market"": ""Other"", ""jd_count"": 1, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
Instacart,instacart.com,22,Medium,Viable,unmanaged,San Francisco,San Francisco,"[{""city"": ""San Francisco"", ""state"": ""California"", ""market"": ""San Francisco""}]",Retail and Wholesale,Freight & Logistics Services,1,1,doordash,Greenhouse,Greenhouse,"Canada - Remote (ON, AB, BC, or NS Only)",Remote,Ads AI Analyst ,https://instacart.careers/job/?gh_jid=7658241,"...r ad platforms, including Amazon, Google, Meta, Shopify, or DoorDash.</li> </ul> <p>&nbsp;</p> <p>#LI-Remote</p><div class=""cont...",2026-04-20,0,noise,,,,,1,"[{""market"": ""Other"", ""jd_count"": 1, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 10}]"
Sofi,sofi.org,21,Medium,Viable,unmanaged,San Francisco,San Francisco,"[{""city"": ""San Francisco"", ""state"": ""Virginia"", ""market"": ""San Francisco""}]",Health Social Services,Banking,2,2,"fully stocked kitchen, stocked kitchen",Greenhouse,Greenhouse,United States,On-site,"Production Sales Manager, Retail",https://sofi.com/careers/job/7602827003?gh_jid=7602827003,"...elehealth support.</div> <div>- Employer-paid lunches and a fully stocked kitchen.</div><div class=""content-conclusion""><div class=""gmail_def...",2026-03-20,0,noise,,,,,2,"[{""market"": ""Austin"", ""jd_count"": 1, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}, {""market"": ""Other"", ""jd_count"": 1, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
Yotpo,yotpo.com,21,Medium,Viable,unmanaged,Other,,"[{""city"": ""Tel Aviv"", ""state"": ""Tel Aviv"", ""market"": ""Other""}]",Technology,Customer Relationship Management (CRM) Software,11,11,stocked kitchen,Greenhouse,Greenhouse,Sofia,Hybrid,Finance Applications Implementer,https://www.yotpo.com/careers/gid-7552390?gh_jid=7552390,"...backed Hackathons, Tech conferences, workshops events, etc Stocked kitchen and bar.</li> <li>Equity in options.</li> <li>Hybrid workin...",2026-03-17,0,noise,,,,,0,[]
Tripadvisor,tripadvisor.com,21,Medium,Viable,unmanaged,Other,,"[{""city"": ""Needham"", ""state"": ""Massachusetts"", ""market"": ""Other""}]",Government and Education,Travel Agencies & Services,1,1,"daily lunch, lunch provided",Greenhouse,Greenhouse,"Reykjavik, Iceland",On-site,Back-end Engineer,https://job-boards.greenhouse.io/tripadvisor/jobs/7825805,...ce in central Reykjavik</p> </li> <li> <p>️ Delicious daily lunch provided</p> </li> <li> <p>☕ Top-notch coffee and snacks to fuel you...,2026-04-21,0,noise,,,,,1,"[{""market"": ""Other"", ""jd_count"": 1, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
Doordashusa,doordashusa.com,21,Medium,Viable,prospect,Other,,[],,,4,4,doordash,Exa,Exa,,Unknown,"Job Application for Senior Manager, Restaurant Growth at DoorDash USA",https://boards.greenhouse.io/doordashusa/jobs/7639415,"...Job Application for Senior Manager, Restaurant Growth at DoorDash USA Back to jobs New # Senior Manager, Restaurant Growth Sa...",,0,expansion_possible,,Other,,,4,"[{""market"": ""Other"", ""jd_count"": 4, ""signal_strength"": ""possible"", ""loc_type"": ""expansion"", ""max_kw_score"": 10}]"
Minio,minio.com,19,Medium,Viable,prospect,Other,,[],,,1,1,"doordash, office lunch",Exa,Exa,,Unknown,Job Application for Workplace Experience Partner at MinIO,https://job-boards.greenhouse.io/minio/jobs/5098674008,"...s - Coordinate daily office lunches, including ordering via DoorDash or working with caterers - Ensure lunch setup and cleanup r...",,1,noise,,,,,1,"[{""market"": ""Other"", ""jd_count"": 1, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 10}]"
Toojaysdeli,toojaysdeli.com,18,Medium,Viable,prospect,Other,,[],,,1,1,"catered lunch, catered meals",Exa,Exa,,Unknown,Job Application for Catering Prep Coordinator at TooJay’s Deli • Bakery • Restaurant,https://job-boards.greenhouse.io/toojaysdeli/jobs/4413995008,"...e Catering Prep Coordinator packs, delivers and sets up the catered lunches and events offsite. - Manage inventory of supplies and eq...",,0,noise,,,,,1,"[{""market"": ""Other"", ""jd_count"": 1, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 14}]"
Opendoor,pro.com,15,Medium,Monitor,unmanaged,San Francisco,San Francisco,"[{""city"": ""San Francisco"", ""state"": ""Arizona"", ""market"": ""San Francisco""}]",Construction and Engineering,Real Estate,1,1,stocked kitchen,Greenhouse,Greenhouse,"San Francisco, California, United States",On-site,Workplace Specialist,https://www.opendoor.com/careers/open-positions?gh_jid=4678108006,"...moving environment. If you find satisfaction in a perfectly stocked kitchen, a smoothly run event, and a building that just&nbsp;<em>wo...",2026-04-30,0,noise,,,,,0,[]
Slope,slope.com,14,Medium,Monitor,prospect,Other,,[],,,1,1,doordash,Ashby,Ashby,TBD,Remote,Risk Operations,https://jobs.ashbyhq.com/slope/20219acc-4e08-4634-8d93-314ffb5b320a,"...ion Square Ventures) and angels (Sam Altman and founders of Doordash, Dropbox, Plaid, Opendoor, Unity) in the world Work with se...",2026-04-29,0,noise,,,,,1,"[{""market"": ""Other"", ""jd_count"": 1, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 10}]"
Braze,braze.com,12,Medium,Monitor,unmanaged,Other,,"[{""city"": ""New York City"", ""state"": ""New York"", ""market"": ""Other""}]",Technology,Customer Relationship Management (CRM) Software,1,1,office lunch,Greenhouse,Greenhouse,Tokyo,Hybrid,"Account Executive, Japan",https://boards.greenhouse.io/braze/jobs/7516233?gh_jid=7516233,...y</li> <li>Braze 内で支援コミュニティを構築する従業員リソースグループ</li> <li>毎週水曜日の Office Lunch Offering</li> <li>他部署とのランチ会</li> <li>Referral Program</li>...,2026-03-06,0,noise,,,,,0,[]
Zerocater,zerocater.com,9,Low,Monitor,prospect,Other,,[],,,1,1,catered lunch,Exa,Exa,,Unknown,"Join Zerocater, Food-Tech Career Opportunities | Zerocater",https://boards.greenhouse.io/zerocater/jobs/6984337,"...n care of. In case you didn’t already guess, we offer daily catered lunch from hundreds of local vendors. ### Match made in heaven We...",,1,noise,,,,,1,"[{""market"": ""Other"", ""jd_count"": 1, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
Aftership,aftership.com,9,Low,Monitor,prospect,Other,,[],,,8,8,office lunch,Greenhouse,Greenhouse,Utah,Hybrid,"Manager, Solutions Engineering",https://job-boards.greenhouse.io/aftership/jobs/5981364004,...reer progression &amp; professional development</li> <li>In-office lunch and commuter benefits for those located in our hub location...,2026-04-24,0,noise,,,,,0,[]
Harvey,harvey.com,8,Low,Monitor,prospect,Other,,[],,,3,3,office lunch,Ashby,Ashby,Sydney,Remote,"Enterprise Account Executive, APAC",https://jobs.ashbyhq.com/harvey/859b90d6-a371-42ba-a5a2-a4a4ca2ab4a7,"...parental leave for all parents. Wellness & Perks: Daily in-office lunch, wellness memberships through Wellhub, and monthly commutin...",2026-01-13,0,noise,,,,,0,[]
Virtu,virtu.com,7,Low,Monitor,prospect,New York,,[],,,1,1,stocked kitchen,Greenhouse,Greenhouse,New York,On-site,Trading Operations Specialist,https://job-boards.greenhouse.io/virtu/jobs/7596640002,"...re rewarded for their contributions to the firm.</li> <li>A stocked kitchen with breakfast and snacks, along with a barista bar.</li> <...",2026-04-14,0,noise,,,,,0,[]
Try Picnic,trypicnic.com,5,Low,Monitor,prospect,Other,,[],,,1,1,office lunch,Exa,Exa,,Unknown,"Job Application for Social Media Associate - Los Angeles, CA at Picnic Delivery",http://job-boards.greenhouse.io/try-picnic/jobs/8184780002,"...videos - Capture and produce content featuring restaurants, office lunches, team moments, and brand storytelling - Maintain a consis...",,0,noise,,,,,0,[]
